OrderItemID,OrderID,ProductID,Quantity,PricePerUnit
"ITEM-1","ORD-50001","PROD-125","2","5681.81"
"ITEM-2","ORD-50001","PROD-105","3","9160.98"
"ITEM-3","ORD-50002","PROD-109","3","5729.65"
"ITEM-4","ORD-50002","PROD-102","1","3718.09"
"ITEM-5","ORD-50002","PROD-118","2","6702.37"
"ITEM-6","ORD-50002","PROD-107","2","4137.55"
"ITEM-7","ORD-50003","PROD-128","3","1323.54"
"ITEM-8","ORD-50003","PROD-131","2","5849.74"
"ITEM-9","ORD-50004","PROD-129","3","2495.97"
"ITEM-10","ORD-50004","PROD-105","3","9160.98"
"ITEM-11","ORD-50005","PROD-126","3","696.05"
"ITEM-12","ORD-50006","PROD-123","2","3560.76"
"ITEM-13","ORD-50007","PROD-106","1","8183.6"
"ITEM-14","ORD-50007","PROD-133","2","9603.27"
"ITEM-15","ORD-50008","PROD-105","2","9160.98"
"ITEM-16","ORD-50008","PROD-126","2","696.05"
"ITEM-17","ORD-50009","PROD-132","1","4491.66"
"ITEM-18","ORD-50010","PROD-102","3","3718.09"
"ITEM-19","ORD-50011","PROD-107","2","4137.55"
"ITEM-20","ORD-50011","PROD-121","2","9398.24"
"ITEM-21","ORD-50011","PROD-125","3","5681.81"
"ITEM-22","ORD-50012","PROD-111","1","6347.69"
"ITEM-23","ORD-50012","PROD-110","1","8525.08"
"ITEM-24","ORD-50012","PROD-133","3","9603.27"
"ITEM-25","ORD-50012","PROD-130","3","6644.43"
"ITEM-26","ORD-50013","PROD-115","3","6382.82"
"ITEM-27","ORD-50014","PROD-134","1","5568.01"
"ITEM-28","ORD-50015","PROD-130","1","6644.43"
"ITEM-29","ORD-50015","PROD-131","1","5849.74"
"ITEM-30","ORD-50015","PROD-121","3","9398.24"
"ITEM-31","ORD-50016","PROD-129","1","2495.97"
"ITEM-32","ORD-50016","PROD-124","1","2838.25"
"ITEM-33","ORD-50016","PROD-115","3","6382.82"
"ITEM-34","ORD-50017","PROD-116","1","6649.58"
"ITEM-35","ORD-50017","PROD-101","1","1519.3"
"ITEM-36","ORD-50017","PROD-122","1","8081.2"
"ITEM-37","ORD-50018","PROD-111","3","6347.69"
